Fibre_GT,Fibre_Assess,Total_GTcontours,Total_Assess_contours,IoU_Score_Assess_GT,GT_proportion_membrane_included,GT_proportion_mito_mass_missed,Assess_proportion_membrane_included,Assess_proportion_mito_mass_missed
118,not_found,489,10,0,44.60656591974987,11.725293132328309,0,0
119,not_found,489,10,0,87.49738219895288,0.07105156313438896,0,0
120,not_found,489,10,0,46.229292013516854,13.84876119764345,0,0
121,not_found,489,10,0,30.418987648341,9.796337227660246,0,0
122,not_found,489,10,0,68.09098080462792,13.969098277608916,0,0
123,not_found,489,10,0,50.435499058380415,5.665509259259259,0,0
124,not_found,489,10,0,91.13799409199606,0.0,0,0
125,not_found,489,10,0,44.36372158425123,9.55833882663151,0,0
126,0,489,10,0.9775649498656354,47.07981319200294,6.781240294026297,36.97643632512576,12.955254942767949
127,not_found,489,10,0,85.89663760896637,5.535714285714286,0,0
128,not_found,489,10,0,74.7167868177137,0.4591710101762224,0,0
129,not_found,489,10,0,69.28488540760081,12.214717383576252,0,0
130,not_found,489,10,0,57.20885890290408,4.379089667074135,0,0
131,not_found,489,10,0,55.36633895131086,2.1180816067409247,0,0
132,not_found,489,10,0,68.81010748632849,1.8278680995682923,0,0
133,not_found,489,10,0,75.52380952380953,0.0,0,0
134,not_found,489,10,0,64.44843451913366,1.292916123424598,0,0
135,not_found,489,10,0,62.57471264367817,0.08090614886731393,0,0
136,not_found,489,10,0,57.71971496437055,1.6888888888888887,0,0
137,not_found,489,10,0,74.20095355818471,0.0,0,0
138,not_found,489,10,0,63.02562216501164,0.0,0,0
139,not_found,489,10,0,87.66339869281046,0.0,0,0
140,not_found,489,10,0,41.67114454594304,0.18490391600079245,0,0
141,not_found,489,10,0,63.87458444690698,10.482890949792132,0,0
142,not_found,489,10,0,67.39031078610603,0.0,0,0
143,not_found,489,10,0,57.355958958168905,3.0459992269037497,0,0
144,not_found,489,10,0,5.923658624414836,0.0,0,0
145,not_found,489,10,0,65.09369676320273,0.5836575875486382,0,0
146,not_found,489,10,0,67.00489853044087,5.1820491109229465,0,0
147,not_found,489,10,0,39.21253822629969,0.0,0,0
148,not_found,489,10,0,43.509735396904645,0.0,0,0
149,not_found,489,10,0,70.18399467967191,0.48507060472135394,0,0
150,not_found,489,10,0,72.39598701681912,2.0671102930765963,0,0
151,not_found,489,10,0,62.635796972395376,0.0,0,0
152,not_found,489,10,0,78.71576111360574,0.7630522088353414,0,0
153,not_found,489,10,0,85.65217391304348,2.3047977422389465,0,0
154,not_found,489,10,0,70.36663303060881,0.0,0,0
155,not_found,489,10,0,65.9265350877193,0.3560126582278481,0,0
156,not_found,489,10,0,79.1025872987154,5.824742268041237,0,0
157,not_found,489,10,0,73.99010059077119,14.767673669682562,0,0
158,not_found,489,10,0,24.967116080236764,2.567404426559356,0,0
159,not_found,489,10,0,19.67442863303148,22.638004246284503,0,0
160,not_found,489,10,0,56.85131195335277,0.0,0,0
161,not_found,489,10,0,48.064211520302166,0.09068923821039904,0,0
162,not_found,489,10,0,37.40035789816171,15.36612722320141,0,0
163,not_found,489,10,0,59.06223717409588,0.09928514694201747,0,0
164,not_found,489,10,0,66.16122543710351,0.0,0,0
165,not_found,489,10,0,73.99741267787839,0.027616680475006903,0,0
166,not_found,489,10,0,41.94581280788177,2.3807608783077296,0,0
167,not_found,489,10,0,10.729448089540718,3.998231430015159,0,0
168,not_found,489,10,0,37.77463904582549,0.0,0,0
169,not_found,489,10,0,50.03631082062454,0.0,0,0
170,not_found,489,10,0,20.10672241170646,0.860855441256091,0,0
171,not_found,489,10,0,37.187098844672654,0.0,0,0
172,not_found,489,10,0,73.58974358974359,1.366782006920415,0,0
173,not_found,489,10,0,43.86018703050743,0.0,0,0
174,not_found,489,10,0,49.01110212484377,12.84529390551749,0,0
175,not_found,489,10,0,51.951473136915084,23.3727408615301,0,0
176,not_found,489,10,0,33.56657043597397,8.32408435072142,0,0
177,not_found,489,10,0,24.00793650793651,0.006949270326615705,0,0
178,not_found,489,10,0,43.72747747747748,0.0,0,0
179,not_found,489,10,0,52.48389108293494,0.0,0,0
180,not_found,489,10,0,66.39039242219215,0.0,0,0
181,not_found,489,10,0,55.79117063492064,0.0,0,0
182,not_found,489,10,0,37.81001984126984,0.0,0,0
183,not_found,489,10,0,45.34299231224128,0.0,0,0
184,not_found,489,10,0,64.90730230798334,0.03607503607503607,0,0
185,not_found,489,10,0,48.75054800526085,0.07018528916339135,0,0
186,not_found,489,10,0,47.97832430179241,0.013354700854700856,0,0
187,not_found,489,10,0,69.35938380612437,1.0867628719045075,0,0
188,not_found,489,10,0,46.393659180977544,0.0,0,0
189,not_found,489,10,0,64.73000683526999,20.51783097215437,0,0
190,not_found,489,10,0,95.18630771973613,29.24447490149049,0,0
191,not_found,489,10,0,53.87716212254471,19.422911283376397,0,0
192,not_found,489,10,0,77.00345266218427,0.09781255557531567,0,0
193,not_found,489,10,0,91.02031394275161,0.0,0,0
194,not_found,489,10,0,64.71840354767184,13.59508777998789,0,0
195,9,489,10,0.9547731283724317,41.82244758949519,0.0444378610576211,31.166126793151317,6.012825348924935
196,not_found,489,10,0,38.91992551210428,0.8008992553042013,0,0
197,not_found,489,10,0,60.56910569105691,0.0,0,0
198,not_found,489,10,0,50.43223443223444,0.0,0,0
199,not_found,489,10,0,12.968722999827198,0.0,0,0
200,not_found,489,10,0,36.39739177685202,0.0,0,0
201,not_found,489,10,0,48.8394584139265,0.23031825795644892,0,0
202,not_found,489,10,0,59.18887147335423,0.0,0,0
203,not_found,489,10,0,86.53623188405797,0.013917884481558803,0,0
204,not_found,489,10,0,78.28239079321865,0.0,0,0
205,not_found,489,10,0,91.15357395612172,0.0,0,0
206,not_found,489,10,0,91.59873188405797,0.0,0,0
207,not_found,489,10,0,85.49890350877193,0.0,0,0
208,not_found,489,10,0,76.63524707226507,2.6120428924938133,0,0
209,not_found,489,10,0,69.37618147448015,0.0,0,0
210,not_found,489,10,0,81.45136065060996,1.0035949670461353,0,0
211,not_found,489,10,0,65.25515743756786,0.8230990331852626,0,0
212,not_found,489,10,0,56.91294806144843,0.11401824291886703,0,0
213,not_found,489,10,0,77.41975308641975,0.0,0,0
214,not_found,489,10,0,78.19148936170212,0.13995047906125524,0,0
215,not_found,489,10,0,66.87723731311856,12.560562646522532,0,0
216,not_found,489,10,0,78.49844128853482,16.6270783847981,0,0
217,not_found,489,10,0,74.62021792730454,0.0,0,0
218,not_found,489,10,0,55.46875,0.015559358954411079,0,0
219,not_found,489,10,0,25.14531901798537,2.359208523592085,0,0
220,not_found,489,10,0,50.641025641025635,4.847846133579239,0,0
221,not_found,489,10,0,99.47672817405675,0.1529051987767584,0,0
222,not_found,489,10,0,75.03937007874015,0.0,0,0
223,not_found,489,10,0,71.54126213592234,0.0,0,0
224,not_found,489,10,0,76.47126436781609,4.995549621717846,0,0
225,not_found,489,10,0,84.48717948717949,1.3683634373289546,0,0
226,not_found,489,10,0,58.08487778673113,0.0,0,0
227,not_found,489,10,0,59.57244008714597,0.006697026520225021,0,0
228,not_found,489,10,0,47.83902691511387,1.8445490395623967,0,0
229,not_found,489,10,0,75.05458515283843,0.0,0,0
230,not_found,489,10,0,81.14842903575298,0.0,0,0
231,not_found,489,10,0,55.61732927724745,0.0,0,0
232,not_found,489,10,0,66.87544738725842,0.8275133517225188,0,0
233,not_found,489,10,0,85.31956214689266,1.6356749311294765,0,0
234,not_found,489,10,0,70.64116985376828,1.4043470660217936,0,0
235,not_found,489,10,0,48.10418727332674,0.550795593635251,0,0
236,not_found,489,10,0,62.29276895943563,0.8263751398812086,0,0
237,not_found,489,10,0,50.515345854328906,0.4218472468916519,0,0
238,not_found,489,10,0,59.44666666666667,10.474567383324594,0,0
239,not_found,489,10,0,66.29468599033817,0.3145853193517636,0,0
240,not_found,489,10,0,66.16513071280798,0.0,0,0
241,not_found,489,10,0,29.828109201213348,0.0,0,0
242,not_found,489,10,0,71.90841234617712,0.0,0,0
243,not_found,489,10,0,57.397911904614816,0.6014946230026126,0,0
244,not_found,489,10,0,52.79547399448512,1.4260836824022216,0,0
245,not_found,489,10,0,67.26618705035972,0.7902298850574714,0,0
